"projectId","processedWAlevin","technology"
"E-MTAB-8483","TRUE","Droplet-based"
"E-MTAB-8495","TRUE","Droplet-based"
"E-MTAB-8498","FALSE","SMART-like"
"E-MTAB-8509","FALSE","SMART-like"
"E-MTAB-8530","TRUE","Droplet-based"
"E-MTAB-8559","TRUE","Droplet-based"
"E-MTAB-8561","FALSE","SMART-like"
"E-MTAB-8656","TRUE","Droplet-based"
"E-MTAB-8662","TRUE","Droplet-based"
"E-MTAB-8698","TRUE","Droplet-based"
"E-MTAB-8751","TRUE","Droplet-based"
"E-MTAB-8810","TRUE","Droplet-based"
"E-MTAB-8839","TRUE","Droplet-based"
"E-MTAB-8848","TRUE","Droplet-based"
"E-MTAB-8884","TRUE","Droplet-based"
"E-MTAB-8894","TRUE","Droplet-based"
"E-MTAB-8911","TRUE","Droplet-based"
"E-MTAB-9061","TRUE","Droplet-based"
"E-MTAB-9067","FALSE","SMART-like"
"E-MTAB-9154","TRUE","Droplet-based"
"E-MTAB-9193","TRUE","Droplet-based"
"E-MTAB-9221","TRUE","Droplet-based"
"E-MTAB-9388","FALSE","SMART-like"
"E-MTAB-9435","TRUE","Droplet-based"
"E-MTAB-9444","TRUE","Droplet-based"
"E-MTAB-9467","TRUE","Droplet-based"
"E-MTAB-9583","TRUE","Droplet-based"
"E-MTAB-9684","TRUE","Droplet-based"
"E-MTAB-9689","TRUE","Droplet-based"
"E-MTAB-9715","TRUE","Droplet-based"
"E-MTAB-9801","FALSE","SMART-like"
"E-MTAB-9841","TRUE","Droplet-based"
"E-MTAB-9906","TRUE","Droplet-based"
"E-MTAB-9954","TRUE","Droplet-based"
